loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6985,14.287134170532227,8.641975308641976e-07,0.026469031233456855,50,,,,,,,,,,,,,
0.7057,3.969223976135254,1.746031746031746e-06,0.05293806246691371,100,,,,,,,,,,,,,
0.6963,9.520581245422363,2.6278659611992945e-06,0.07940709370037057,150,,,,,,,,,,,,,
0.7006,4.848799228668213,3.509700176366843e-06,0.10587612493382742,200,,,,,,,,,,,,,
0.6922,7.801691055297852,4.3915343915343915e-06,0.1323451561672843,250,,,,,,,,,,,,,
0.6398,14.139212608337402,5.2733686067019405e-06,0.15881418740074113,300,,,,,,,,,,,,,
0.4693,16.261106491088867,6.155202821869489e-06,0.185283218634198,350,,,,,,,,,,,,,
0.4574,66.71612548828125,7.0370370370370375e-06,0.21175224986765484,400,,,,,,,,,,,,,
0.3351,inf,7.918871252204586e-06,0.2382212811011117,450,,,,,,,,,,,,,
0.3142,205.33328247070312,8.800705467372135e-06,0.2646903123345686,500,,,,,,,,,,,,,
0.3005,38.11008834838867,9.682539682539683e-06,0.2911593435680254,550,,,,,,,,,,,,,
0.3422,43.630340576171875,9.937254901960786e-06,0.31762837480148226,600,,,,,,,,,,,,,
0.2686,8.662999153137207,9.83921568627451e-06,0.3440974060349391,650,,,,,,,,,,,,,
0.3046,79.7254409790039,9.741176470588236e-06,0.370566437268396,700,,,,,,,,,,,,,
0.2587,26.069175720214844,9.643137254901962e-06,0.39703546850185284,750,,,,,,,,,,,,,
0.2428,14.275209426879883,9.545098039215686e-06,0.4235044997353097,800,,,,,,,,,,,,,
0.2823,38.36759567260742,9.447058823529412e-06,0.4499735309687665,850,,,,,,,,,,,,,
0.2469,18.664228439331055,9.349019607843139e-06,0.4764425622022234,900,,,,,,,,,,,,,
0.3049,35.03388595581055,9.250980392156863e-06,0.5029115934356803,950,,,,,,,,,,,,,
0.2431,14.250678062438965,9.152941176470589e-06,0.5293806246691372,1000,,,,,,,,,,,,,
0.2394,23.179698944091797,9.054901960784315e-06,0.5558496559025939,1050,,,,,,,,,,,,,
0.2519,315.2161560058594,8.95686274509804e-06,0.5823186871360508,1100,,,,,,,,,,,,,
0.2332,37.926422119140625,8.858823529411765e-06,0.6087877183695076,1150,,,,,,,,,,,,,
0.2386,40.04899978637695,8.760784313725492e-06,0.6352567496029645,1200,,,,,,,,,,,,,
0.2306,44.35173416137695,8.662745098039218e-06,0.6617257808364214,1250,,,,,,,,,,,,,
0.2273,14.595017433166504,8.564705882352942e-06,0.6881948120698782,1300,,,,,,,,,,,,,
0.1869,16.0466251373291,8.466666666666668e-06,0.7146638433033351,1350,,,,,,,,,,,,,
0.2826,12.329663276672363,8.368627450980394e-06,0.741132874536792,1400,,,,,,,,,,,,,
0.2699,57.03580856323242,8.270588235294118e-06,0.7676019057702488,1450,,,,,,,,,,,,,
0.255,35.27399444580078,8.172549019607845e-06,0.7940709370037057,1500,,,,,,,,,,,,,
0.2075,157.32675170898438,8.074509803921569e-06,0.8205399682371625,1550,,,,,,,,,,,,,
0.2703,36.11058044433594,7.976470588235295e-06,0.8470089994706194,1600,,,,,,,,,,,,,
0.2125,28.345882415771484,7.878431372549021e-06,0.8734780307040763,1650,,,,,,,,,,,,,
0.1977,66.48168182373047,7.780392156862745e-06,0.899947061937533,1700,,,,,,,,,,,,,
0.2526,46.10547637939453,7.682352941176471e-06,0.9264160931709899,1750,,,,,,,,,,,,,
0.2175,4.487249851226807,7.584313725490197e-06,0.9528851244044468,1800,,,,,,,,,,,,,
0.2431,14.836370468139648,7.486274509803923e-06,0.9793541556379036,1850,,,,,,,,,,,,,
,,,1.0,1889,0.4013436436653137,0.8560996563573883,0.855616270010261,0.8536786341403866,0.8545013029734062,8.9679,519.184,32.449,,,,,
0.216,2.2625837326049805,7.388235294117647e-06,1.0058231868713605,1900,,,,,,,,,,,,,
0.1213,126.07766723632812,7.290196078431373e-06,1.0322922181048173,1950,,,,,,,,,,,,,
0.1541,7.793760776519775,7.192156862745099e-06,1.0587612493382743,2000,,,,,,,,,,,,,
0.2248,24.11400032043457,7.0941176470588245e-06,1.085230280571731,2050,,,,,,,,,,,,,
0.1566,inf,6.99607843137255e-06,1.1116993118051879,2100,,,,,,,,,,,,,
0.1956,18.143550872802734,6.898039215686275e-06,1.138168343038645,2150,,,,,,,,,,,,,
0.2539,21.17841148376465,6.800000000000001e-06,1.1646373742721017,2200,,,,,,,,,,,,,
0.1616,1.306835651397705,6.701960784313726e-06,1.1911064055055585,2250,,,,,,,,,,,,,
0.1662,2.950345993041992,6.603921568627451e-06,1.2175754367390152,2300,,,,,,,,,,,,,
0.1842,17.79831886291504,6.5058823529411775e-06,1.2440444679724723,2350,,,,,,,,,,,,,
0.1782,96.70946502685547,6.407843137254902e-06,1.270513499205929,2400,,,,,,,,,,,,,
0.1281,3.174137592315674,6.309803921568628e-06,1.296982530439386,2450,,,,,,,,,,,,,
0.1878,28.760944366455078,6.211764705882354e-06,1.3234515616728428,2500,,,,,,,,,,,,,
0.214,0.4442727565765381,6.113725490196078e-06,1.3499205929062996,2550,,,,,,,,,,,,,
0.1595,2.698068380355835,6.015686274509804e-06,1.3763896241397564,2600,,,,,,,,,,,,,
0.19,34.68153381347656,5.9176470588235305e-06,1.4028586553732134,2650,,,,,,,,,,,,,
